level,marginal_cross_ct_r,marginal_mean_abs_effect,marginal_pct_of_level1,cumulative_cross_ct_r
1,0.8841,0.088662,100.0,0.8841
2,0.2767,0.023916,27.0,0.8569
3,0.2056,0.017504,19.7,0.8225
4,0.3119,0.015415,17.4,0.8228
5,0.1225,0.01852,20.9,0.8068
6,0.1797,0.011261,12.7,0.8117
7,0.2443,0.012141,13.7,0.8102
8,0.268,0.009563,10.8,0.8101
9,0.0542,0.015936,18.0,0.7946
10,0.1626,0.007176,8.1,0.7946
11,0.0939,0.008084,9.1,0.7993
12,0.1462,0.009312,10.5,0.7907
13,0.1113,0.006921,7.8,0.7825
14,0.0707,0.006484,7.3,0.781
15,0.0721,0.01074,12.1,0.7805
16,0.0565,0.006656,7.5,0.7732
