Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Interferon Gamma Response,0.9135828959464232,2.704785872198002,0.0,0.0,0.0,94/191,2.28%,ISG15;IFIT3;IFIT1;ISG20;LY6E;CXCL10;TNFSF10;MX1;IFIT2;IFITM3;RSAD2;IFI27;IFI44L;OASL;IRF7;PLSCR1;MT2A;EPSTI1;SAMD9L;MX2;IFI35;UBE2L6;CXCL11;XAF1;IFITM2;EIF2AK2;CMPK2;IFI44;LAP3;DDX58;GBP4;BST2;CCL2;SOCS1;SP110;STAT1;IDO1;PSMB9;NMI;OAS2;OAS3;RBCK1;CD38;IFIH1;CD69;RTP4;PARP14;PSME2;TAP1;RNF213;HERC6;VAMP5;PARP12;HELZ2;TNFAIP6;STAT2;APOL6;LGALS3BP;PSMB8;ZBP1;IRF8;DHX58;SLAMF7;PNPT1;IRF2;CASP1;SOD2;CASP4;ADAR;FGL2;PML;DDX60;HLA-B;IRF9;TRAFD1;PSME1;SERPING1;TAPBP;GCH1;CD40;SAMHD1;TRIM14;B2M;TRIM21;IRF1;MYD88;ZNFX1;MVP;CD86;OGFR;FAS;MTHFD2;HLA-A;TDRD7
prerank,Interferon Alpha Response,0.9598194565382179,2.5303192705149873,0.0,0.0,0.0,71/93,1.88%,ISG15;IFIT3;ISG20;LY6E;CXCL10;MX1;IFIT2;IFITM3;RSAD2;IFI27;IFI44L;OAS1;OASL;IRF7;PLSCR1;EPSTI1;SAMD9L;IFI35;UBE2L6;CXCL11;SAMD9;IFITM2;EIF2AK2;CMPK2;IFI44;LAP3;GBP4;BST2;SP110;PSMB9;NMI;IFITM1;PARP9;IFIH1;SELL;RTP4;PARP14;PSME2;TAP1;NUB1;GBP2;HERC6;PARP12;HELZ2;GMPR;STAT2;LGALS3BP;PSMB8;DHX58;PNPT1;TMEM140;IRF2;CASP1;MOV10;ADAR;DDX60;IRF9;TRAFD1;HLA-C;PSME1;LAMP3;CNP;CD47;ELF1;TRIM14;B2M;TRIM21;NCOA7;IRF1;TRIM5;OGFR
prerank,Inflammatory Response,0.6943508375421948,2.0151607197303574,0.0,0.0,0.0,41/167,6.20%,LY6E;CXCL10;TNFSF10;IRF7;CXCL11;EIF2AK2;BST2;CCL2;NMI;IFITM1;CD69;SELL;RTP4;CD48;TNFAIP6;SLC31A2;LAMP3;TAPBP;GCH1;CD40;IRF1;CCR7;C3AR1;KLF6;LYN;IL15RA;HIF1A;FFAR2;EDN1;RIPK2;TLR1;AQP9;MSR1;IL15;CCL7;ADM;MYC;GNAI3;CCRL2;NAMPT;P2RX7
prerank,KRAS Signaling Dn,0.7526551367249887,1.8820104604073102,0.0,0.00023585965227548408,0.001,7/66,4.32%,MX1;RSAD2;IFI44L;TGM1;EDN1;SNN;CD80
prerank,TNF-alpha Signaling via NF-kB,0.5962656940803925,1.7621764258134083,0.0,0.003019003549126196,0.016,48/192,8.05%,CXCL10;IFIT2;CXCL11;DDX58;SAT1;CCL2;IFIH1;CD69;TAP1;TNFAIP6;SOD2;CFLAR;PLEK;CCL4;GCH1;CD83;IRF1;TANK;DRAM1;GADD45B;MARCKS;KLF6;ATF3;MCL1;BCL2A1;IL15RA;DUSP5;DUSP2;EDN1;SNN;RIPK2;IER2;EIF1;TIPARP;CD80;SPSB1;MYC;CCRL2;CCNL1;NAMPT;SOCS3;KLF9;IL6ST;CCL5;RELA;DNAJB4;NR4A3;PANX1
prerank,Oxidative Phosphorylation,-0.5659226344542467,-1.7168086129371385,0.0,0.0020941625219700086,0.002,85/179,18.23%,GPX4;UQCRB;POLR2F;SLC25A11;ECH1;NDUFS8;NDUFS7;COX7A2L;ATP6V0B;SLC25A3;RHOT2;LDHA;MRPL15;ISCU;TIMM10;LDHB;IDH3B;MDH1;ACADVL;SUCLG1;MRPS12;MRPS15;MRPL34;NNT;OAT;IDH3G;AIFM1;MGST3;COX4I1;HSPA9;OXA1L;TIMM9;NDUFAB1;SDHD;VDAC3;NDUFA4;COX8A;UQCRC1;ATP6V1F;SLC25A6;ATP6AP1;ACAA2;UQCRC2;CYC1;PHB2;NDUFA2;ISCA1;NDUFS6;SUCLA2;NDUFA8;NDUFC2;NDUFB6;COX6B1;VDAC2;UQCRFS1;NDUFA5;NDUFA6;ATP6V1E1;PDHB;HSD17B10;NQO2;HADHB;NDUFC1;GRPEL1;BAX;ETFB;VDAC1;TIMM8B;ACAA1;UQCRH;MRPL35;MRPL11;POR;PMPCA;ATP6V1D;COX5B;ECHS1;SURF1;TOMM22;NDUFB3;COX11;NDUFS1;IMMT;COX15;TIMM13
prerank,IL-2/STAT5 Signaling,0.565153100015384,1.6668316584111351,0.0,0.009748865627386676,0.058,19/173,2.78%,CXCL10;TNFSF10;IFITM3;PLSCR1;GBP4;SOCS1;SELL;RABGAP1L;CD48;IRF8;FGL2;CD83;CD86;GADD45B;GLIPR2;KLF6;BATF3;XBP1;TLR7
prerank,Angiogenesis,-0.7681929536613696,-1.6391666439938664,0.0016181229773462784,0.005758946935417524,0.011,5/20,6.44%,S100A4;VCAN;TIMP1;OLR1;LRPAP1
prerank,Myc Targets V1,-0.5272093655251174,-1.625317559476085,0.0,0.006631514652905028,0.018,92/192,19.11%,RPLP0;HNRNPA1;RPL6;IMPDH2;SLC25A3;HNRNPR;LDHA;RPS6;TUFM;EIF3D;SNRPD3;PA2G4;PGK1;GSPT1;DDX18;ODC1;PSMD14;MRPL23;NHP2;LSM7;ACP1;NDUFAB1;RPL18;HNRNPA3;VDAC3;PSMC4;NAP1L1;POLD2;PHB;SRSF3;RPS10;RPS3;EXOSC7;U2AF1;SET;SRSF1;CCT7;NPM1;CYC1;PPIA;RPS5;RPL14;EIF1AX;PHB2;CCT2;EEF1B2;IFRD1;EIF4G2;RNPS1;XRCC6;PABPC1;CDK4;HNRNPA2B1;DUT;EIF4A1;GNL3;RPL22;CANX;ETF1;TRA2B;PSMA7;CLNS1A;CCT5;MCM7;SRSF2;VDAC1;HNRNPC;PSMD7;MRPL9;SRPK1;SERBP1;RAD23B;PSMD1;HDGF;RPS2;C1QBP;XPO1;RRM1;MCM4;COPS5;PRPF31;RSL1D1;TFDP1;MCM6;PSMA1;DHX15;EIF2S2;EIF2S1;SNRPD2;NOP56;APEX1;TARDBP
prerank,Apoptosis,0.5633929691274122,1.601216173827963,0.004073319755600814,0.021294757176872278,0.141,29/144,5.35%,ISG20;TNFSF10;IFITM3;SAT1;CD38;CD69;TAP1;DNAJA1;CASP1;SOD2;CFLAR;CASP4;GCH1;IRF1;PMAIP1;FAS;ANXA1;HSPB1;PRF1;GADD45B;ATF3;MCL1;SATB1;PDCD4;DAP3;CASP7;XIAP;EMP1;BID
