rank,gene,mean_logFC,is_known_ISG
1,ISG15,4.5564,True
2,IFIT3,3.4559,True
3,IFIT1,3.2156,True
4,IFI6,3.1916,True
5,ISG20,3.1119,True
6,LY6E,3.1075,True
7,CXCL10,3.0468,True
8,TNFSF10,3.0411,False
9,MX1,2.9848,True
10,IFIT2,2.8892,False
11,IFITM3,2.6957,True
12,RSAD2,2.5788,True
13,IFI27,2.4037,False
14,IFI44L,2.3777,True
15,OAS1,2.3616,True
16,OASL,2.3126,True
17,IRF7,2.2287,True
18,PLSCR1,2.1269,False
19,MT2A,2.1134,False
20,HERC5,2.0366,True
21,GBP1,2.0246,True
22,EPSTI1,1.9816,False
23,SAMD9L,1.9107,False
24,MX2,1.9096,True
25,APOBEC3A,1.9008,False
26,IFI35,1.8966,True
27,UBE2L6,1.8478,False
28,CXCL11,1.7681,False
29,SAMD9,1.7469,False
30,NT5C3A,1.7182,False
